,Name,Duration,Status,Type,Episodes,Rating,Genres,Licensors,Producers,Studios,Members,Favorites,aired_start,aired_end,broadcast_day,broadcast_time,premiered_season,premiered_year
1360,Bungou Stray Dogs 2nd Season,00:23:00,Finished Airing,TV,12,R 17,"Action,Mystery,Supernatural","Crunchyroll,Funimation","KlockWorx,Sony PCL,Lantis,Glovision,Kadokawa,Bandai Namco Live Creative,Movic,Lawson HMV Entertainment",Bones,806101,6653,2016-10-06,2016-12-16,fri,22:30:00,Fall,2016
1361,Xi Xing Ji: Qiong Qi Didong,01:17:00,Finished Airing,ONA,1,PG 13,"Action,Adventure,Fantasy",none,Tencent Penguin Pictures,BYMENT,339,1,Aug 19, 2022,none,none,none,none
1362,Kidou Senshi Gundam SEED,00:24:00,Finished Airing,TV,50,R 17,"Award Winning,Romance,Sci-Fi,Drama,Action","Bandai Entertainment,NYAV Post","Atelier Musa,Mainichi Broadcasting System,Asatsu DK,Sony Music Entertainment,Sotsu",Sunrise,165061,3447,2002-10-05,2003-09-27,sat,18:00:00,Fall,2002
1363,Ensemble Girls!!,00:01:00,Finished Airing,ONA,1,G,none,none,none,none,740,0,Jun 19, 2016,none,none,none,none
1364,Anima Yell! Ouen Douga,00:02:00,Finished Airing,ONA,12,PG 13,Comedy,none,none,Doga Kobo,2207,0,Oct 7, 2018 to Dec 23,none,none,none,none
1365,King of Prism: Shiny Seven Stars,00:24:00,Finished Airing,TV,12,PG 13,Sports,none,none,Tatsunoko Production,5546,22,2019-04-16,2019-07-02,tue,01:35:00,Spring,2019
1366,Wu Shang Shen Di,00:07:00,Finished Airing,ONA,64,PG 13,"Adventure,Supernatural,Action",none,"iQIYI,Tencent Penguin Pictures",Ruo Hong Culture,3272,23,2020-05-18,2020-12-18,none,none,none,none
1367,Marvel Future Avengers 2nd Season,00:22:00,Finished Airing,TV,13,PG,Action,none,none,Madhouse,1850,2,Jul 30, 2018 to Oct 22,mon,18:00:00,Summer,2018
1368,Kamiusagi Rope Movie Episode 0,00:02:00,Finished Airing,ONA,1,G,"Slice of Life,Comedy",none,none,none,432,0,Mar 13, 2012,none,none,none,none
1369,Yuuki Yuuna wa Yuushabu Shozoku 2,00:07:00,Finished Airing,Movie,1,PG 13,"Comedy,Fantasy,Slice of Life",none,none,W-Toon Studio,3725,1,2017-04-15,none,none,none,none,none
1370,Kidou Senshi Gundam-san,00:02:00,Finished Airing,TV,13,PG 13,Comedy,Nozomi Entertainment,none,Sunrise,7578,0,2014-07-06,2014-09-28,sun,19:28:00,Summer,2014
1371,Body Jack: Tanoshii Yutai Ridatsu,00:35:00,Finished Airing,OVA,1,R+,"Ecchi,Comedy",none,Bandai,none,3053,1,Jan 28, 1987,none,none,none,none
1372,6HP (Six Hearts Princess),00:22:00,Currently Airing,Special,0,None,none,none,none,Poncotan,5765,7,2016-12-30,none,none,none,none,none
1373,Majokko Shimai no Yoyo to Nene Movie Extra: Hatsukoi - Mikako Komatsu,00:02:00,Finished Airing,Special,1,G,none,none,"Tokuma Shoten,Starchild Records",ufotable,1738,0,2014-06-25,none,none,none,none,none
1374,Future Card Buddyfight Battsu: All-Star Fight,00:24:00,Finished Airing,TV,8,PG,none,none,Bushiroad,"OLM,Xebec",2346,5,2018-04-07,2018-05-26,sat,08:00:00,Spring,2018
1375,Kimagure Orange☆Road,00:25:00,Finished Airing,TV,48,PG 13,"Comedy,Drama,Romance","Discotek Media,AnimEigo",Toho,Pierrot,46281,596,1987-04-06,1988-03-07,mon,19:30:00,Spring,1987
1376,Sarazanmai,00:22:00,Finished Airing,TV,11,PG 13,"Fantasy,Supernatural,Action",Funimation,"Aniplex,Dentsu,Movic,Fuji TV,Gentosha Comics","MAPPA,Lapin Track",128639,1340,2019-04-12,2019-06-21,fri,00:55:00,Spring,2019
1377,Seihou Tenshi Angel Links: Meifon no Special Kaisetsu Corner,00:06:00,Finished Airing,Special,1,PG 13,"Sci-Fi,Comedy",none,Bandai Visual,Sunrise,1070,0,2000-01-01,none,none,none,none,none
1378,Ganbare Goemon: Chikyuu Kyuushutsu Daisakusen,00:30:00,Finished Airing,OVA,1,None,Comedy,none,Konami,"add some,None found,",401,2,1998-11-21,none,none,none,none,none
1379,Xianggu Teqin Dui: Gangtie Xingqiu de Mimi,00:13:00,Finished Airing,TV,26,PG,none,none,none,none,38,0,Not available,none,none,none,?,none
1380,Lupin III: Honoo no Kioku - Tokyo Crisis,01:32:00,Finished Airing,Special,1,PG 13,"Comedy,Mystery,Action,Adventure","Funimation,Discotek Media","TMS Entertainment,Tohokushinsha Film Corporation,VAP",Tokyo Movie Shinsha,7912,13,1998-07-24,none,none,none,none,none
1381,Ukkari Pénélope (2017),00:05:00,Finished Airing,TV,13,G,Slice of Life,none,none,none,197,0,Oct 4, 2017 to Dec 27,wed,17:20:00,Fall,2017
1382,Tokai no Butchy,00:13:00,Finished Airing,Movie,1,G,Romance,none,Tezuka Productions,none,347,0,Jun 29, 1995,none,none,none,none
1383,Asura,01:15:00,Finished Airing,Movie,1,R+,"Drama,Award Winning",none,"Bandai Visual,Fields,Kinoshita Koumuten,Production I.G,Sotsu",Toei Animation,32317,86,2012-09-29,none,none,none,none,none
1384,Aggressive Retsuko (ONA) 4th Season,00:18:00,Finished Airing,ONA,10,PG 13,Comedy,none,Sanrio,Fanworks,49947,76,2021-12-16,none,none,none,none,none
1385,Oh! Edo Rocket,00:24:00,Finished Airing,TV,26,PG 13,"Fantasy,Drama,Comedy,Sci-Fi",Funimation,"Sunny Side Up,Index,Universal Pictures Japan",Madhouse,12422,34,2007-04-04,2007-09-26,wed,02:00:00,Spring,2007
1386,Fastening Days 3,00:03:00,Finished Airing,ONA,3,G,none,none,none,Studio Colorido,851,1,2017-09-06,none,none,none,none,none
1387,Rec: Yurusarezarumono,00:13:00,Finished Airing,Special,1,PG 13,"Drama,Comedy,Romance",none,none,Shaft,24004,5,2006-06-30,none,none,none,none,none
1388,Dragon Ball Super,00:23:00,Finished Airing,TV,131,PG 13,"Comedy,Action,Adventure,Fantasy",Funimation,"Yomiko Advertising,Fuji TV",Toei Animation,791266,10023,2015-07-05,2018-03-25,sun,09:00:00,Summer,2015
1389,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,01:22:00,Finished Airing,Movie,1,PG,"Award Winning,Romance,Comedy,Drama,Fantasy","Discotek Media,Nelvana,Geneon Entertainment USA","Bandai Visual,Amber Film Works,Shochiku,Kodansha,Shelty",Madhouse,112346,440,2000-07-15,none,none,none,none,none
1390,Ranma ½: DoCo Music Video,00:25:00,Finished Airing,OVA,1,PG 13,"Comedy,Slice of Life",none,none,Kitty Film Mitaka Studio,3884,2,1995-08-19,none,none,none,none,none
1391,Tomica Hyper Rescue Drive Head: Kidou Kyuukyuu Keisatsu (ONA),00:15:00,Finished Airing,ONA,7,PG,"Sci-Fi,Adventure",none,TBS,OLM,466,2,Jan 20, 2018 to Jul 21,none,none,none,none
1392,Union Union,51 sec.,Finished Airing,Special,1,G,none,none,none,Decovocal,223,0,Jun 8, 2013,none,none,none,none
1393,Li Shi Zhentan Shiwusuo: A Day in Lungmen - Liang Xiaoshi Jiaqi,00:09:00,Finished Airing,ONA,1,PG 13,"Comedy,Mystery",none,none,Gravity Well,769,0,2023-04-22,none,none,none,none,none
1394,IDOLiSH7 Special Program: Kimi to Furikaeranai to!,00:23:00,Finished Airing,Special,1,PG 13,Drama,none,none,TROYCA,2988,13,2018-04-01,none,none,none,none,none
1395,Xiyou Ji de Gushi,00:11:00,Finished Airing,TV,52,PG,Fantasy,none,none,none,36,0,2014-01-26,none,none,none,?,none
1396,Hit wo Nerae! Specials,00:14:00,Finished Airing,Special,4,PG 13,"Comedy,Ecchi",none,m.o.e.,"Imagin,Studio Live",1856,0,May 19, 2004 to Jun 30,none,none,none,none
1397,Hetalia Axis Powers,00:05:00,Finished Airing,ONA,52,PG 13,Comedy,Funimation,"Frontier Works,DAX Production",Studio Deen,251589,4287,2009-01-24,2010-03-05,none,none,none,none
1398,Sora no Aosa wo Shiru Hito yo,01:46:00,Finished Airing,Movie,1,PG 13,"Drama,Supernatural,Romance",none,"Aniplex,Toho,Fuji TV,Kadokawa,STORY",CloverWorks,109124,366,2019-10-11,none,none,none,none,none
1399,Carnival Phantasm: HibiChika Special,00:26:00,Finished Airing,Special,1,PG 13,"Comedy,Supernatural",none,Notes,Lerche,33304,6,2012-07-07,none,none,none,none,none
1400,Otogi Juushi Akazukin OVA,00:37:00,Finished Airing,OVA,1,PG 13,"Comedy,Adventure,Fantasy",none,none,Madhouse,1942,1,2005-02-20,none,none,none,none,none
1401,Aru Tabibito no Nikki Specials,00:04:00,Finished Airing,Special,3,G,"Adventure,Fantasy",none,Robot Communications,none,7782,5,2006-02-11,none,none,none,none,none
1402,Kino no Tabi: The Beautiful World - Tou no Kuni - Free Lance,00:14:00,Finished Airing,Special,1,PG 13,"Fantasy,Adventure,Suspense",none,Genco,A.C.G.T.,37333,24,2005-10-19,none,none,none,none,none
1403,The Midnight★Animal,00:15:00,Finished Airing,ONA,12,PG 13,"Action,Supernatural",none,none,Gonzo,435,0,Aug 3, 2013 to Jan 22,none,none,none,none
1404,Soukyuu no Fafner: Dead Aggressor - The Beyond Part 2,00:25:00,Finished Airing,Movie,3,PG 13,"Drama,Action,Sci-Fi",none,King Records,"Production I.G,I.Gzwei",3935,3,2019-11-08,none,none,none,none,none
1405,Nijiiro☆Prism Girl,00:12:00,Finished Airing,OVA,4,PG,"Comedy,Romance",none,none,SynergySP,3665,3,2013-08-03,2013-11-30,none,none,none,none
1406,Many Things SD Gundam,00:03:00,Finished Airing,Special,2,PG 13,Comedy,none,none,Sunrise,1048,0,2011 to Jul 22, 2011,none,none,none,none
1407,Unko-san: Tsuiteru Hito ni Shika Mienai Yousei Junjou Ha,00:03:00,Finished Airing,TV,13,PG,Comedy,none,none,Kachidoki Studio,405,2,Jan 10, 2010 to Apr 4,none,none,Winter,2010
1408,Candy Caries,00:01:00,Finished Airing,ONA,1,PG 13,Fantasy,none,none,Wit Studio,610,1,Mar 21, 2021,none,none,none,none
1409,Ten ni Yaka Reru: E ni Yoru Shougen,00:15:00,Finished Airing,OVA,1,PG,Drama,none,none,none,143,0,2000-01-01,none,none,none,none,none
1410,Tenki no Ko CMs,20 sec. per ep.,Finished Airing,Special,8,G,Slice of Life,none,none,"Enishiya,FILMONY",4918,4,2019-06-30,2019-01-01,none,none,none,none
1411,Ai Monogatari: 9 Love Stories,01:32:00,Finished Airing,OVA,1,PG 13,"Romance,Drama",none,none,Studio Deen,4864,5,1993-04-02,none,none,none,none,none
1412,Tokyo One Piece Tower: Tongari Shima no Dai Hihou,00:10:00,Finished Airing,Movie,1,G,"Adventure,Action",none,none,none,7095,7,2016-11-01,none,none,none,none,none
1413,Umi no Koumori,00:28:00,Finished Airing,OVA,1,G,Drama,none,none,none,174,0,1987-01-01,none,none,none,none,none
1414,"Mix: Meisei Story 2nd Season - Nidome no Natsu, Sora no Mukou e",00:23:00,Currently Airing,TV,24,PG 13,Sports,none,"Yomiuri Telecasting,Shogakukan-Shueisha Productions,Shogakukan",OLM,5843,16,2023-04-01,none,sat,17:30:00,Spring,2023
1415,Gad Guard,00:25:00,Finished Airing,TV,26,PG 13,"Adventure,Action,Sci-Fi","Geneon Entertainment USA,Funimation","Amber Film Works,Hal Film Maker,Imagica,Imagine,Media Factory",Gonzo,13800,26,2003-04-16,2003-09-25,thur,02:58:00,Spring,2003
1416,Emiya-san Chi no Kyou no Gohan,00:13:00,Finished Airing,ONA,13,PG 13,"Comedy,Slice of Life,Gourmet",Aniplex of America,"Aniplex,Kadokawa",ufotable,125906,705,2018-01-25,2019-01-01,none,none,none,none
1417,dwarf Movie Lab,39 sec. per ep.,Finished Airing,ONA,13,G,none,none,none,dwarf,285,0,May 2, 2014,none,none,none,none
1418,Yi Shijie Zhongyao Pu 2nd Season,00:12:00,Finished Airing,ONA,60,PG 13,"Drama,Fantasy",none,"iQIYI,Tencent Penguin Pictures",Soyep,245,1,Apr 27, 2021 to Nov 9,none,none,none,none
1419,Hanasakeru Seishounen Recaps,00:24:00,Finished Airing,Special,3,PG 13,"Drama,Romance",none,none,Pierrot,4218,3,2009-06-28,2009-10-18,none,none,none,none
1420,Show By Rock!! x Joysound,00:01:00,Finished Airing,ONA,4,G,Comedy,none,Sanrio,none,2157,1,Jun 27, 2014 to May 15,none,none,none,none
1421,Toshokan Sensou,00:23:00,Finished Airing,TV,12,PG 13,"Comedy,Action,Romance",Discotek Media,"Asmik Ace,Dentsu,Atelier Musa,Sony Music Entertainment,Code,Fuji TV,ASCII Media Works",Production I.G,72522,399,2008-04-11,2008-06-27,fri,00:45:00,Spring,2008
1422,Ayane-chan High Kick!,00:27:00,Finished Airing,OVA,2,PG 13,"Comedy,Sports",Central Park Media,Nikkatsu,Rikuentai,5584,8,Jan 21, 1997 to Apr 25,none,none,none,none
1423,K,00:24:00,Finished Airing,TV,13,PG 13,"Fantasy,Mystery,Action",VIZ Media,"Mainichi Broadcasting System,KlockWorx,Starchild Records",GoHands,741983,6649,2012-10-05,2012-12-28,thur,none,Fall,2012
1424,Jungle Taitei Leo: Hon-o-ji,00:09:00,Finished Airing,Movie,1,G,"Drama,Adventure",none,Beijing Sharaku Art,"add some,None found,",844,1,2000-03-18,none,none,none,none,none
1425,Kawasaki Frontale x Tentai Senshi Sunred 2nd Season,00:02:00,Finished Airing,Special,1,PG 13,"Sports,Comedy",none,none,AIC ASTA,647,0,Mar 5, 2010,none,none,none,none
1426,Xiong Bao Meishi Zhandui,00:12:00,Finished Airing,TV,26,PG,none,none,none,none,73,0,2020-01-01,none,none,none,?,none
1427,Quanzhi Gaoshou Specials,00:27:00,Finished Airing,ONA,3,PG 13,Action,none,"Tencent Penguin Pictures,Colored Pencil Animation Japan,Tencent Animation & Comics,China Literature Limited",Colored Pencil Animation,102413,355,2018-04-27,2018-05-11,none,none,none,none
1428,Kazoku Robinson Hyouryuuki: Fushigi na Shima no Flone,00:24:00,Finished Airing,TV,50,G,"Drama,Adventure,Slice of Life",none,none,Nippon Animation,6492,30,1981-01-04,1981-12-27,sun,19:30:00,Winter,1981
1429,Ashita no Joe,00:25:00,Finished Airing,TV,79,PG 13,"Drama,Sports",none,Fuji TV,Mushi Production,86180,1855,1970-04-01,1971-09-29,wed,19:00:00,Spring,1970
1430,"Tanbai Haru, Tookaraji",00:40:00,Finished Airing,OVA,1,G,Drama,none,none,Toei Animation,203,0,2010-01-01,none,none,none,none,none
1431,Soba e,00:02:00,Finished Airing,ONA,1,G,Fantasy,none,none,Orange,1968,3,2019-03-06,none,none,none,none,none
1432,Growlanser IV: Wayfarer of the Time,00:30:00,Finished Airing,OVA,1,PG 13,Action,none,Atlus,"Zexcs,feel.",1847,2,Mar 10, 2005,none,none,none,none
1433,Code Geass: Boukoku no Akito 3 - Kagayaku Mono Ten yori Otsu,00:59:00,Finished Airing,Movie,1,R 17,Action,Funimation,"Bandai,Hakuhodo DY Media Partners,Bandai Namco Entertainment,Bandai Visual",Sunrise,110766,102,2015-05-02,none,none,none,none,none
1434,Zettai Yareru Greece Shinwa,00:24:00,Finished Airing,TV,13,R+,"Comedy,Ecchi",none,VAP,A-1 Pictures,771,0,Oct 4, 2008 to Dec 27,none,none,Fall,2008
1435,Tsuki no Musume,00:04:00,Finished Airing,Movie,1,None,Avant Garde,none,none,none,70,0,1983-01-01,none,none,none,none,none
1436,Eve no Jikan,00:18:00,Finished Airing,ONA,6,PG 13,"Slice of Life,Sci-Fi",none,"Code,Directions,Trick Block",Studio Rikka,180602,1243,2008-08-01,2009-09-18,none,none,none,none
1437,Makura no Danshi,00:04:00,Finished Airing,TV,12,PG 13,Slice of Life,none,Earth Star Entertainment,"Assez Finaud Fabric,feel.",41573,56,Jul 14, 2015 to Sep 29,tue,01:16:00,Summer,2015
1438,Koroshiya 1 The Animation: Episode 0,00:45:00,Finished Airing,OVA,1,R+,"Horror,Drama,Action,Avant Garde",Central Park Media,"Shogakukan-Shueisha Productions,Amuse",AIC,10533,29,Sep 27, 2002,none,none,none,none
1439,Grisaia no Meikyuu: Caprice no Mayu 0 - Takizono Basketball Club no Nama Cream Party!,00:03:00,Finished Airing,Special,1,R+,Ecchi,none,Frontier Works,8bit,59155,61,2015-07-23,none,none,none,none,none
1440,Xiong Zi: Fei Xiong Buke,00:15:00,Finished Airing,TV,52,PG,Fantasy,none,none,none,40,0,2015-08-01,none,none,none,?,none
1441,Futsuu no Joshikousei ga [Locodol] Yattemita. OVA,00:24:00,Finished Airing,OVA,2,PG 13,"Slice of Life,Comedy",none,DAX Production,feel.,7917,4,2015-03-23,2016-06-22,none,none,none,none
1442,Baka Baka Baka na Sekai,00:05:00,Finished Airing,Movie,1,G,"Avant Garde,Comedy",none,none,none,1999,2,Oct 12, 1968,none,none,none,none
1443,Detective Conan OVA 12: The Miracle of Excalibur,00:29:00,Finished Airing,OVA,1,PG 13,"Sports,Mystery,Comedy",none,none,TMS Entertainment,11070,2,2012-05-24,none,none,none,none,none
1444,Xifan Shi Wan Ge Weisheme,00:03:00,Finished Airing,ONA,100,PG,Fantasy,none,none,none,39,0,2016 to ?,none,none,none,none,none
1445,Xiao Xingxing Hua Dian,00:05:00,Finished Airing,ONA,12,PG,none,none,none,none,36,0,2015 to ?,none,none,none,none,none
1446,Wooser no Sono Higurashi: Ken to Pants to Wooser to,00:04:00,Finished Airing,Special,1,G,"Slice of Life,Fantasy,Comedy",none,none,SANZIGEN,3215,0,2013-03-22,none,none,none,none,none
1447,Wu Ying Sanqian Dao,00:12:00,Finished Airing,ONA,10,PG 13,"Fantasy,Adventure,Action",none,Tencent Penguin Pictures,Tanglin Culture,939,5,2022-03-27,2022-05-15,none,none,none,none
1448,SheepWolf,00:02:00,Finished Airing,ONA,1,G,Comedy,none,none,RG Animation Studios,344,1,Apr 8, 2009,none,none,none,none
1449,Kyoukai no Rinne 2nd Season,00:24:00,Finished Airing,TV,25,PG 13,"Supernatural,Comedy",Sentai Filmworks,"Shogakukan,NHK,Shogakukan-Shueisha Productions",Brain's Base,34223,34,2016-04-09,2016-09-24,sat,17:30:00,Spring,2016
1450,Shi Cao Lao Long Bei Guan Yi E Long Zhi Ming,00:14:00,Finished Airing,ONA,12,PG 13,"Adventure,Comedy,Fantasy",none,"Starry Cube,AT-X,Kadokawa,bilibili",LAN Studio,20776,67,2022-07-30,2022-10-08,none,none,none,none
1451,Da Yu Hai Tang,00:07:00,Finished Airing,ONA,1,G,"Drama,Adventure,Supernatural,Romance",none,none,B&T,1365,1,Dec 28, 2004,none,none,none,none
1452,Muhyo to Rouji no Mahouritsu Soudan Jimusho,00:23:00,Finished Airing,TV,12,PG 13,"Supernatural,Mystery",Funimation,"Shueisha,Animax,SKY PerfecTV!,Bandai Namco Arts,JY Animation,Sony Pictures Entertainment,Lantis",Studio Deen,51387,61,2018-08-03,2018-10-19,fri,21:30:00,Summer,2018
1453,Sword Art Online: Progressive Movie - Hoshi Naki Yoru no Aria,01:37:00,Finished Airing,Movie,1,PG 13,"Action,Fantasy,Adventure",Aniplex of America,"Aniplex,Straight Edge,Sonilude,Kadokawa,Egg Firm,Bandai Namco Entertainment",A-1 Pictures,233017,2102,2021-10-30,none,none,none,none,none
1454,Final Fantasy VII: Last Order,00:25:00,Finished Airing,Special,1,PG 13,"Sci-Fi,Adventure,Fantasy,Action,Drama",none,"Sony Pictures Entertainment,Square Enix",Madhouse,65226,131,2005-09-14,none,none,none,none,none
1455,Strike Witches: Road to Berlin,00:23:00,Finished Airing,TV,12,PG 13,"Sci-Fi,Action,Ecchi",Funimation,"DeNA,Docomo Anime Store,Magic Capsule,Sammy,Nippon Columbia,Kadokawa,Kadokawa Media House",David Production,25782,88,2020-10-08,2020-12-24,thur,01:05:00,Fall,2020
1456,Log Horizon,00:24:00,Finished Airing,TV,25,PG 13,"Action,Fantasy,Adventure","Sentai Filmworks,Funimation",NHK,Satelight,1085189,10200,2013-10-05,2014-03-22,sat,17:30:00,Fall,2013
1457,Crazy for It,00:03:00,Finished Airing,Movie,1,G,Avant Garde,none,none,none,2418,9,2012-01-01,none,none,none,none,none
1458,C³: Rinkan Gakkou Confusion!,00:29:00,Finished Airing,Special,1,PG 13,"Action,Comedy,Supernatural,Ecchi",Funimation,none,SILVER LINK.,27830,10,2012-04-25,none,none,none,none,none
1459,Asylum Session,01:05:00,Finished Airing,Movie,1,R 17,Sci-Fi,Sentai Filmworks,none,CoMix Wave Films,4248,4,Jul 11, 2009,none,none,none,none
1460,Eyeshield 21: Jump Festa 2005 Special,00:11:00,Finished Airing,Special,1,PG 13,Sports,none,none,Gallop,6631,4,2005-01-01,none,none,none,none,none
1461,Rara Maji,00:01:00,Finished Airing,ONA,1,G,Fantasy,none,none,A-1 Pictures,744,0,Jan 27, 2017,none,none,none,none
1462,One Room: Second Season Special,00:11:00,Finished Airing,Special,1,PG 13,Ecchi,none,none,Zero-G,9839,5,Nov 30, 2018,none,none,none,none
1463,Xiao Xing Mao: Mohuan Yuezhang 2nd Season,00:13:00,Finished Airing,TV,26,PG,none,none,none,none,44,0,Not available,none,none,none,?,none
1464,Bai Yao Pu 2nd Season,00:21:00,Finished Airing,ONA,12,PG 13,"Adventure,Supernatural,Fantasy,Mystery",none,bilibili,Haoliners Animation League,3535,12,2021-07-18,2021-09-26,none,none,none,none
1465,Soul Link Picture Drama,00:04:00,Finished Airing,Special,3,PG 13,"Sci-Fi,Romance",none,"Mellow Head,Picture Magic",none,1123,0,Jul 21, 2006 to Sep 22,none,none,none,none
1466,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",00:23:00,Finished Airing,TV,12,PG 13,"Mystery,Romance,Fantasy,Action,Drama",none,"AT-X,Crunchyroll,Bandai Namco Arts,Glovision,Movic,Lantis,Kadokawa,TV Aichi,Kadokawa Media House","SILVER LINK.,Studio Palette",484815,3973,2021-10-06,2021-12-22,wed,23:00:00,Fall,2021
1467,Dimension Loop,00:04:00,Finished Airing,OVA,1,PG 13,Sci-Fi,none,none,Studio 4°C,3041,2,2001-01-01,none,none,none,none,none
1468,Wo Shi Na Zha,01:22:00,Finished Airing,Movie,1,PG 13,Fantasy,none,none,none,466,0,Oct 1, 2016,none,none,none,none
1469,Chuumon no Ooi Ryouriten,00:18:00,Finished Airing,Movie,1,G,"Fantasy,Supernatural,Horror",none,Gakken,none,1212,0,1958-11-01,none,none,none,none,none
1470,Monster Strike: Rain of Memories,00:46:00,Finished Airing,ONA,1,PG 13,"Fantasy,Action",none,none,"Ultra Super Pictures,Connect",2867,1,2016-12-03,none,none,none,none,none
1471,Ishii Hiroyuki x Saitou Souma Essay-shuu,36 sec.,Finished Airing,ONA,1,G,none,none,none,none,308,0,Sep 25, 2018,none,none,none,none
1472,Diamond no Ace: Act II,00:24:00,Finished Airing,TV,52,PG 13,Sports,none,"TV Tokyo,AT-X,Pony Canyon,DAX Production,Kodansha,Sotsu",Madhouse,85380,946,2019-04-02,2020-03-31,tue,17:55:00,Spring,2019
1473,Brothers Conflict,00:24:00,Finished Airing,TV,12,PG 13,Romance,Funimation,"NBCUniversal Entertainment Japan,DAX Production,Movic,Showgate,Kadokawa Shoten",Brain's Base,179391,732,Jul 2, 2013 to Sep 17,none,none,Summer,2013
1474,Maison Ikkoku: Kanketsu-hen,01:06:00,Finished Airing,Movie,1,PG 13,"Drama,Comedy,Romance",none,Kitty Films,Ajia-do,7162,5,1988-02-06,none,none,none,none,none
1475,Show in Backrooms,00:01:00,Finished Airing,ONA,1,G,Avant Garde,none,none,none,229,1,Oct 18, 2022,none,none,none,none
1476,Origami of Landscape,44 sec.,Finished Airing,ONA,1,G,Avant Garde,none,none,none,571,0,Jun 8, 2013,none,none,none,none
1477,Panda Kopanda,00:36:00,Finished Airing,Movie,2,G,Comedy,"GKIDS,Discotek Media,Geneon Entertainment USA",none,Tokyo Movie Shinsha,10385,27,1972-12-17,1973-03-17,none,none,none,none
1478,"Watashitachi, Luck Logic-bu! 2",00:01:00,Finished Airing,ONA,12,PG 13,Comedy,none,none,Doga Kobo,2057,2,Aug 1, 2016 to Jan 22,none,none,none,none
1479,Usagi to Kame,00:09:00,Finished Airing,Movie,1,G,Fantasy,none,none,none,1422,3,1924-01-01,none,none,none,none,none
1480,Hello World,01:37:00,Finished Airing,Movie,1,PG 13,"Drama,Sci-Fi,Romance",none,"TV Osaka,Shueisha,CyberAgent,LINE Corporation,Kansai Telecasting,Memory-Tech,Movic,Toho,Lawson Entertainment,Hikari TV,JR East Marketing & Communications,Yomiuri Telecasting,Tokyo MX,Mainichi Broadcasting System,Marui Group",Graphinica,238201,1371,2019-09-20,none,none,none,none,none
1481,Yume Kakeru Kougen: Kiyosato no Chichi Paul Rusch,01:37:00,Finished Airing,Movie,1,G,none,none,none,Magic Bus,567,0,Oct 19, 2002,none,none,none,none
1482,Duel Masters (2017),00:24:00,Finished Airing,TV,51,PG 13,"Adventure,Action,Comedy,Fantasy",none,none,Ascension,1742,2,Apr 2, 2017 to Mar 25,sun,08:30:00,Spring,2017
1483,Hijikata Toshizou: Shiro no Kiseki,00:32:00,Finished Airing,OVA,1,PG 13,"Drama,Action",none,"Beyond C.,Imagica",Studio 4°C,3258,6,2004-01-12,none,none,none,none,none
1484,Renou Xueyuan,00:05:00,Finished Airing,ONA,10,PG 13,Comedy,none,miHoYoAnime,Painting Dream,1602,15,2021-07-10,2021-09-04,none,none,none,none
1485,Himalaya no Hikari no Oukoku,00:26:00,Finished Airing,OVA,1,G,"Adventure,Fantasy",none,Shinano Kikaku,Toei Animation,385,0,Jul 10, 1999,none,none,none,none
1486,Kitsutsuki Keikaku,00:15:00,Finished Airing,Movie,1,G,"Slice of Life,Comedy",none,none,none,541,1,1966-01-01,none,none,none,none,none
1487,Birthday Boy,00:09:00,Finished Airing,Movie,1,G,"Award Winning,Drama,Action",none,none,none,2051,2,2004-01-01,none,none,none,none,none
1488,Himitsukessha Taka no Tsume The Movie 1: Soutou wa Nido Shinu,01:10:00,Finished Airing,Movie,1,G,Comedy,none,none,DLE,510,0,Mar 17, 2007,none,none,none,none
1489,Xiao Ge Er Lia,00:13:00,Finished Airing,Movie,1,G,none,none,none,Shanghai Animation Film Studio,69,0,1965-01-01,none,none,none,none,none
1490,Saredo Tsumibito wa Ryuu to Odoru,00:23:00,Finished Airing,TV,12,R 17,"Drama,Action,Sci-Fi,Fantasy",Funimation,"TBS,NBCUniversal Entertainment Japan",Seven Arcs Pictures,53396,48,Apr 6, 2018 to Jun 22,fri,01:58:00,Spring,2018
1491,Hot Minute: Gudetama,00:01:00,Finished Airing,ONA,1,G,Comedy,none,Sanrio,none,1140,1,Nov 2, 2015,none,none,none,none
1492,Ueki no Housoku,00:23:00,Finished Airing,TV,51,PG 13,"Action,Supernatural,Adventure","Discotek Media,Geneon Entertainment USA","TV Tokyo Music,Shogakukan-Shueisha Productions,Studio Tulip,Studio Izena",Studio Deen,115030,863,2005-04-04,2006-03-27,mon,18:30:00,Spring,2005
1493,Harukanaru Toki no Naka de: Ajisai Yumegatari,00:30:00,Finished Airing,OVA,2,PG 13,"Fantasy,Drama,Romance,Adventure,Supernatural",none,none,Zexcs,3626,3,2002-03-27,2003-01-23,none,none,none,none
1494,Dr. Slump Movie 07: Arale-chan N-cha! Penguin Mura yori Ai wo Komete,00:31:00,Finished Airing,Movie,1,PG 13,"Sci-Fi,Comedy",none,Studio Core,Toei Animation,1490,0,1993-07-10,none,none,none,none,none
1495,Green Dakara x Bakemono no Ko,15 sec. per ep.,Finished Airing,ONA,2,G,none,none,none,Studio Chizu,4106,6,Jun 24, 2015 to Jul 11,none,none,none,none
