,Name,Duration,Status,Type,Episodes,Rating,Genres,Licensors,Producers,Studios,Members,Favorites,aired_start,aired_end,broadcast_day,broadcast_time,premiered_season,premiered_year
4405,Taka no Tsume: Tokyo Comic Con 2017 no Ouendan ni Shuunin Kettei!,00:01:00,Finished Airing,ONA,1,G,Comedy,none,none,none,392,0,Jul 29, 2017,none,none,none,none
4406,Xi Yangyang Yu Hui Tailang: Xiha Chuang Shijie,00:13:00,Finished Airing,TV,60,PG,"Comedy,Adventure",none,none,none,130,0,2016-01-15,none,none,none,?,none
4407,Shirobako,00:24:00,Finished Airing,TV,24,PG 13,"Drama,Comedy,Award Winning",Sentai Filmworks,"Showgate,KlockWorx,Infinite,Imagine,Sotsu,Movic,Warner Bros. Japan",P.A. Works,433099,6208,2014-10-09,2015-03-26,thur,23:30:00,Fall,2014
4408,Garugaku.: Sei Girls Square Gakuin,00:03:00,Finished Airing,TV,50,PG 13,none,none,none,"OLM,Wit Studio",2237,4,Apr 6, 2020 to Mar 29,mon,07:05:00,Spring,2020
4409,Washimo 6th Season,00:10:00,Finished Airing,TV,42,G,"Comedy,Slice of Life,Sci-Fi",none,none,none,232,0,Apr 2, 2018 to Jan 7,none,none,Spring,2018
4410,Skull Man,00:23:00,Finished Airing,TV,13,PG 13,"Action,Mystery",Sentai Filmworks,"Geneon Universal Entertainment,Diomedéa",Bones,31577,64,2007-04-29,2007-07-22,sun,02:45:00,Spring,2007
4411,Terrace House x Craft Boss,00:01:00,Finished Airing,ONA,1,G,Slice of Life,none,none,none,387,0,Aug 30, 2019,none,none,none,none
4412,Uchuu Kaizoku Mito no Daibouken: Futari no Joou-sama,00:24:00,Finished Airing,TV,13,PG 13,"Comedy,Action,Sci-Fi","Media Blasters,Nozomi Entertainment,NYAV Post","Shaft,Genco,Xebec",Triangle Staff,1515,1,Jul 13, 1999 to Oct 5,tue,01:15:00,Summer,1999
4413,Super Mario no Shouboutai,00:09:00,Finished Airing,OVA,1,G,none,none,none,"Toei Animation,Studio Junio",786,2,1989-01-01,none,none,none,none,none
4414,Naruto: Shippuuden Movie 4 - The Lost Tower,01:25:00,Finished Airing,Movie,1,PG 13,"Fantasy,Action,Adventure",VIZ Media,Toho,Pierrot,246083,217,2010-07-31,none,none,none,none,none
4415,Full Moon wo Sagashite: Kawaii Kawaii Daibouken,00:10:00,Finished Airing,Special,1,G,"Supernatural,Comedy,Fantasy",VIZ Media,Nihon Ad Systems,Studio Deen,9706,16,2002-11-01,none,none,none,none,none
4416,Shiroi Kiba White Fang Monogatari,01:13:00,Finished Airing,Special,1,G,"Adventure,Drama",none,TBS,Sunrise,1139,0,1982-05-05,none,none,none,none,none
4417,Yi Ren Zhi Xia 5th season,00:23:00,Finished Airing,ONA,12,PG 13,"Action,Supernatural",none,"Tencent Penguin Pictures,Tencent Animation & Comics,Yikuiduo Animation",Qiyuan Yinghua,2893,13,2022-12-09,2023-02-24,none,none,none,none
4418,"Ore, Tsushima (ONA)",00:01:00,Finished Airing,ONA,93,PG 13,Comedy,none,"Bit grooove promotion,Asmik Ace",AQUA ARIS,2950,8,2021-07-05,2022-03-02,none,none,none,none
4419,Ai (ONA),7 sec.,Finished Airing,ONA,1,G,Romance,none,none,none,4373,8,Aug 10, 2012,none,none,none,none
4420,5 Dong 32 Hao: Hesui Fan,00:02:00,Finished Airing,ONA,4,G,Comedy,none,none,none,79,0,2018 to ?,none,none,none,none,none
4421,Mushikago no Cagaster,00:28:00,Finished Airing,ONA,12,R 17,"Drama,Sci-Fi,Action",Sentai Filmworks,Netflix,Studio Kai,37117,71,2020-02-06,none,none,none,none,none
4422,To Heart 2 OVA,00:28:00,Finished Airing,OVA,3,PG 13,"Comedy,Drama,Romance",none,none,Chaos Project,6917,9,2007-02-28,2007-09-28,none,none,none,none
