Name,Aired,Broadcast,Duration,Status,Type,Premiered,Episodes,Rating,Genres,Licensors,Producers,Studios,Members,Favorites
Grendizer: Getter Robo G - Great Mazinger Kessen! Daikaijuu,1976-07-18,none,00:31:00,Finished Airing,Movie,none,1,PG 13,"Sci-Fi,Action",none,Dynamic Planning,Toei Animation,2398,2
K-On! Movie,2011-12-03,none,01:50:00,Finished Airing,Movie,none,1,PG 13,"Comedy,Award Winning",Sentai Filmworks,"Pony Canyon,Animation Do",Kyoto Animation,318223,2695
Kakutou Bijin Wulong: Rebirth,"2006-04-02,2006-10-01",Unknown,00:25:00,Finished Airing,TV,Spring 2006,25,R 17,"Action,Comedy",none,none,TMS Entertainment,3695,4
Eizouken Mini Anime,"Jan 8, 2020 to Mar 24, 2020",none,00:01:00,Finished Airing,ONA,none,13,PG 13,Comedy,none,none,AQUA ARIS,4501,5
Haikyuu!! Movie 3: Sainou to Sense,2017-09-15,none,01:29:00,Finished Airing,Movie,none,1,PG 13,Sports,none,none,Production I.G,81451,93
Megumi,"Mar 28, 2008",none,00:25:00,Finished Airing,ONA,none,1,G,none,none,none,Trans Arts,2166,1
Nendo no Tatakai 2,"Jan 21, 2004",none,00:01:00,Finished Airing,ONA,none,1,PG 13,"Comedy,Action",none,none,none,2544,3
Time Bokan Series: Yattodetaman,"1981-02-07,1982-02-06",Unknown,00:20:00,Finished Airing,TV,Winter 1981,52,PG 13,"Comedy,Adventure,Fantasy,Action",none,none,Tatsunoko Production,2100,3
Saint☆Oniisan,"2012-12-03,2013-08-23",none,00:20:00,Finished Airing,OVA,none,2,PG 13,"Comedy,Slice of Life",none,none,A-1 Pictures,91144,274
"Komi-san wa, Comyushou desu.","2021-10-07,2021-12-23","thur,00:00:00",00:23:00,Finished Airing,TV,Fall 2021,12,PG 13,Comedy,none,"TV Tokyo,Dentsu,Half H.P Studio,Nippon Columbia,Shogakukan-Shueisha Productions",OLM,819265,11709
Ace wo Nerae! 2,"1988-07-25,1988-10-25",none,00:24:00,Finished Airing,OVA,none,13,PG 13,"Drama,Sports",Discotek Media,"Movic,Bandai Visual,Tokyo Movie Shinsha","TMS Entertainment,Annapuru",3151,25
Jian Wangchao 2,"Oct 12, 2017 to Dec 21, 2017",none,00:13:00,Finished Airing,ONA,none,12,PG 13,Action,none,iQIYI,none,778,1
Gegege no Kitarou: Kitarou Tanjou-hen,1980-01-01,none,00:03:00,Finished Airing,Special,none,1,G,Supernatural,none,none,Toei Animation,511,0
Tongari Atama no Gonta: Futatsu no Namae wo Ikita Fukushima Hisai Inu no Monogatari,"Jun 3, 2022",none,01:53:00,Finished Airing,Movie,none,1,None,none,none,none,WAO World,1769,6
Princess Connect! Re:Dive,2020-04-07 2020-06-30,2 00:30:00,00:23:00,Finished Airing,TV,Spring 2020,13,PG 13,Fantasy Comedy Adventure Gourmet,"None found, add some",BS11 Tokyo MX Nippon Columbia WOWOW Cygames,CygamesPictures,273074,999
Kago Shintarou Anime Sakuhin Shuu,2008-01-01,none,00:02:00,Finished Airing,OVA,none,15,R+,"Avant Garde,Horror,Comedy",none,none,none,5769,11
Aoi Blink,1989-04-07 1990-03-16,5 19:30:00,00:25:00,Finished Airing,TV,Spring 1989,39,G,Fantasy Adventure,"None found, add some","None found, add some",Tezuka Productions,2053,9
Chain Chronicle: Haecceitas no Hikari Part 3,2017-02-11,none,01:33:00,Finished Airing,Movie,none,1,PG 13,"Adventure,Fantasy,Action",none,Pazzy Entertainment,"Graphinica,Telecom Animation Film",14933,7
Nodame Cantabile: Nodame to Chiaki no Umi Monogatari,2007-10-05,none,00:14:00,Finished Airing,Special,none,1,G,"Comedy,Romance",none,none,J.C.Staff,28342,14
"Chi's Sweet Home: Chi to Kocchi, Deau.",2010-04-23,none,00:13:00,Finished Airing,OVA,none,1,G,"Comedy,Slice of Life",none,none,Madhouse,7161,7
Peeping Life: YouTuber-kun,"Aug 8, 2013 to Aug 29, 2013",none,00:05:00,Finished Airing,ONA,none,4,G,Comedy,none,CoMix Wave Films,none,813,1
Kinnikuman: New York Kiki Ippatsu!,1986-03-15,none,00:45:00,Finished Airing,Movie,none,1,PG 13,"Sports,Comedy,Action",none,none,Toei Animation,890,1
Jinsei,"2014-07-06,2014-09-28","sun,22:00:00",00:24:00,Finished Airing,TV,Summer 2014,13,PG 13,"Comedy,Slice of Life",Funimation,"VAP,Yomiuri Telecasting",feel.,69695,67
Fairy Tail,"2009-10-12,2013-03-30","6,10:30:00",00:24:00,Finished Airing,TV,Fall 2009,175,PG 13,"Adventure,Fantasy,Action",Funimation,"Dentsu,TV Tokyo,Kodansha,Pony Canyon,DAX Production,Sakura Create","Satelight,A-1 Pictures",1686508,45616
Xiao Ban Long Gushi,Not available,none,00:11:00,Finished Airing,ONA,none,7,PG,Fantasy,none,none,none,38,0
Death Note: Rewrite,"2007-08-31,2008-08-22",none,1 hr. 52 min. per ep.,Finished Airing,Special,none,2,R 17,"Supernatural,Suspense",VIZ Media,Shueisha,Madhouse,199094,663
Turning Mecard W: Vandyne-ui Bimil - Teugbyeolpan,"Feb 8, 2018",none,01:30:00,Finished Airing,Movie,none,1,PG,Adventure,none,none,none,317,1
Yasamura Yasashi no Yasashii Sekai,"Sep 2, 2016 to Sep 30, 2018",mon,30 sec. per ep.,Finished Airing,TV,Fall 2016,33,G,Comedy,none,Sony Music Entertainment,DLE,1130,0
Mijikamon Episode 0,"Mar 7, 2014",none,00:02:00,Finished Airing,ONA,none,1,G,Comedy,none,none,Kinema Citrus,3769,0
Doupo Cangqiong 3rd Season,"2019-07-21,2019-09-29",none,00:23:00,Finished Airing,ONA,none,12,PG 13,"Romance,Supernatural,Adventure,Action,Fantasy",none,none,Motion Magic,7817,51
Soukou Kihei Votoms Recaps,"1986-02-21,1988-02-20",none,00:57:00,Finished Airing,OVA,none,4,PG 13,"Sci-Fi,Drama,Action",none,none,Sunrise,998,0
"Machine Robo: Leina, The Legend of Wolf Blade","Feb 5, 1988 to Apr 26, 1989",none,00:29:00,Finished Airing,OVA,none,3,PG 13,"Action,Fantasy",Discotek Media,Ashi Productions,none,936,1
Usagi (Special),"Jun 11, 2022",none,00:03:00,Finished Airing,Special,none,1,G,"Comedy,Fantasy",none,"Fuji TV,Toei Animation",Orange,236,0
UFO Princess Valkyrie: Recap,2003-08-23,none,00:45:00,Finished Airing,Special,none,1,PG 13,"Sci-Fi,Comedy,Romance",ADV Films,"Nippon Columbia,Media Factory,Toshiba Entertainment,KlockWorx",TNK,1543,0
Sakamoto desu ga? Sakamoto deshita?,2016-09-26,none,00:24:00,Finished Airing,Special,none,1,PG 13,Comedy,Sentai Filmworks,"King Records,TBS,DAX Production",Studio Deen,84351,40
Dogeza de Tanondemita: Isekai-hen,"Jan 12, 2021",none,00:03:00,Finished Airing,Special,none,1,R+,"Comedy,Ecchi,Fantasy",none,"DAX Production,DMM Music,DMM pictures",Adonero,17093,33
San Ge Heshang,1980-01-01,none,00:19:00,Finished Airing,Movie,none,1,G,none,none,Shanghai Animation Film Studio,none,522,1
Idol Memories,"Oct 3, 2016 to Dec 19, 2016",Mondays at 00:30 (JST),00:12:00,Finished Airing,TV,Fall 2016,12,PG 13,none,none,Glovision,Seven Arcs Pictures,8579,10
Fune wo Amu Yokoku,"Oct 13, 2016 to Dec 18, 2016",none,41 sec. per ep.,Finished Airing,ONA,none,10,G,Comedy,none,none,Zexcs,1335,1
Space Shower Man: Legacy for the Future,"Apr 8, 2019",none,40 sec.,Finished Airing,Special,none,1,G,"Action,Comedy",none,none,none,361,0
Seiken no Blacksmith,"2009-10-03,2009-12-19",Unknown,00:23:00,Finished Airing,TV,Fall 2009,12,R+,"Adventure,Action,Fantasy",Funimation,"AT-X,Media Factory,Earth Star Entertainment",Manglobe,181076,226
Warau Arsnotoria Sun!,"Jul 6, 2022 to Sep 21, 2022",Wednesdays at 21:30 (JST),00:23:00,Finished Airing,TV,Summer 2022,12,PG 13,"Action,Fantasy",none,"BS NTV,Good Smile Company,Crunchyroll,Ultra Super Pictures,JR East Marketing & Communications,Nitroplus,Pony Canyon,Kadokawa",LIDENFILMS,26807,47
Uchuujin Pipi,"Apr 8, 1965 to Mar 31, 1966",none,00:25:00,Finished Airing,TV,Spring 1965,52,PG,none,none,"Tele-Cartoon Japan,NHK",none,383,1
Xiao Tu Bandy: Haidao Tanxian Ji,2020 to ?,none,00:15:00,Finished Airing,TV,?,26,PG,Fantasy,none,none,none,39,0
Utawarerumono OVA Picture Drama,"2009-06-24,2010-06-23",none,00:18:00,Finished Airing,Special,none,3,PG 13,"Comedy,Fantasy",Sentai Filmworks,Frontier Works,"None found,,add some",5534,3
Gintama: Nanigoto mo Saisho ga Kanjin nanode Tashou Senobisuru Kurai ga Choudoyoi,2005-09-24,none,00:32:00,Finished Airing,Special,none,1,PG 13,"Action,Sci-Fi,Comedy",none,"Audio Highs,Miracle Robo",Sunrise,54964,72
Genjitsu no Yohane: Sunshine in the Mirror,"Jul 2, 2023 to ?","sun,22:30:00",00:23:00,Currently Airing,TV,Summer 2023,13,PG 13,Fantasy,none,"Lantis,Bandai Namco Filmworks,Bandai Namco Music Live,Bushiroad,Kadokawa",Sunrise,24292,127
